Result,match_number,team,opponent,gender,season,month,day,home_advantage,venue,city,toss_winner,winner,team_score,team_wickets,win_by_runs,win_by_wickets,choose_to_bat,forced_to_bat,avg_win_rate,avg_score,avg_wickets_out,last_match_result
win,19,Northern Superchargers,Birmingham Phoenix,male,2022,8,19,no,"Edgbaston, Birmingham",Birmingham,Birmingham Phoenix,Northern Superchargers,169,6,32,0,no,yes,0.3636363636363636,151.63636363636363,6.090909090909091,lose
lose,20,London Spirit,Trent Rockets,male,2022,8,20,no,"Trent Bridge, Nottingham",Nottingham,Trent Rockets,Trent Rockets,122,10,0,6,no,yes,0.4545454545454545,142.63636363636363,6.2727272727272725,win
win,21,Manchester Originals,Northern Superchargers,male,2022,8,21,no,"Headingley, Leeds",Leeds,Northern Superchargers,Manchester Originals,208,5,23,0,no,yes,0.3636363636363636,143.1818181818182,6.363636363636363,win
lose,22,Welsh Fire,Southern Brave,male,2022,8,22,yes,"Sophia Gardens, Cardiff",Cardiff,Southern Brave,Southern Brave,129,8,0,9,no,yes,0.25,133.5,6.583333333333333,lose
win,23,Birmingham Phoenix,Oval Invincibles,male,2022,8,23,no,"Kennington Oval, London",London,Oval Invincibles,Birmingham Phoenix,166,6,10,0,no,yes,0.6428571428571429,148.07142857142858,5.428571428571429,lose
win,24,London Spirit,Welsh Fire,male,2022,8,24,yes,"Lord's, London",London,Welsh Fire,London Spirit,156,6,17,0,no,yes,0.4166666666666667,140.91666666666666,6.583333333333333,lose
lose,25,Trent Rockets,Southern Brave,male,2022,8,25,no,"The Rose Bowl, Southampton",Southampton,Southern Brave,Southern Brave,138,6,0,6,no,yes,0.6666666666666666,140.93333333333334,5.066666666666666,win
lose,26,Welsh Fire,Northern Superchargers,male,2022,8,26,yes,"Sophia Gardens, Cardiff",Cardiff,Welsh Fire,Northern Superchargers,114,4,0,6,yes,no,0.2142857142857142,133.57142857142858,6.857142857142857,lose
lose,27,London Spirit,Oval Invincibles,male,2022,8,27,yes,"Lord's, London",London,London Spirit,Oval Invincibles,122,7,0,6,yes,no,0.4615384615384615,142.07692307692307,6.538461538461538,win
win,28,Manchester Originals,Birmingham Phoenix,male,2022,8,28,no,"Edgbaston, Birmingham",Birmingham,Manchester Originals,Manchester Originals,154,6,79,0,yes,no,0.4166666666666667,148.58333333333334,6.25,win
win,29,Trent Rockets,Welsh Fire,male,2022,8,29,yes,"Trent Bridge, Nottingham",Nottingham,Welsh Fire,Trent Rockets,172,4,29,0,no,yes,0.625,140.75,5.125,lose
lose,30,London Spirit,Birmingham Phoenix,male,2022,8,30,yes,"Lord's, London",London,Birmingham Phoenix,Birmingham Phoenix,139,6,0,1,no,yes,0.4285714285714285,140.64285714285714,6.571428571428571,lose
win,31,Northern Superchargers,Southern Brave,male,2022,8,31,yes,"Headingley, Leeds",Leeds,Southern Brave,Northern Superchargers,135,8,16,0,no,yes,0.4285714285714285,152.71428571428572,6.0,win
lose,32,Oval Invincibles,Manchester Originals,male,2022,8,31,no,"Old Trafford, Manchester",Manchester,Oval Invincibles,Manchester Originals,143,9,0,6,yes,no,0.5714285714285714,145.5,5.785714285714286,win
lose,40,London Spirit,Manchester Originals,male,2022,9,2,no,"The Rose Bowl, Southampton",Southampton,London Spirit,Manchester Originals,150,7,0,5,yes,no,0.4,140.53333333333333,6.533333333333333,lose
lose,50,Manchester Originals,Trent Rockets,male,2022,9,3,no,"Lord's, London",London,Manchester Originals,Trent Rockets,120,9,0,2,yes,no,0.5333333333333333,148.8,6.0,win
